# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-23 17:24:01 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11224000 MF SAN JOAQUIN R NR MAMMOTH LAKES CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11224000
#            TS   parameter     statistic     Description
#          9329       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9329_00060_00003	9329_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11224000	2009-10-28	31.3	A
USGS	11224000	2009-10-29	30.0	A:e
USGS	11224000	2009-10-30	28.9	A
USGS	11224000	2009-10-31	26.7	A
USGS	11224000	2009-11-01	25.2	A
USGS	11224000	2009-11-02	24.2	A
USGS	11224000	2009-11-03	23.6	A
USGS	11224000	2009-11-04	23.0	A
USGS	11224000	2009-11-05	22.4	A
USGS	11224000	2009-11-06	20.9	A
USGS	11224000	2009-11-07	19.7	A
USGS	11224000	2009-11-08		
USGS	11224000	2009-11-09		
USGS	11224000	2009-11-10		
USGS	11224000	2009-11-11		
USGS	11224000	2009-11-12		
USGS	11224000	2009-11-13		
USGS	11224000	2009-11-14		
USGS	11224000	2009-11-15		
USGS	11224000	2009-11-16		
USGS	11224000	2009-11-17		
USGS	11224000	2009-11-18		
USGS	11224000	2009-11-19		
USGS	11224000	2009-11-20		
USGS	11224000	2009-11-21		
USGS	11224000	2009-11-22		
USGS	11224000	2009-11-23		
USGS	11224000	2009-11-24		
USGS	11224000	2009-11-25		
USGS	11224000	2009-11-26		
USGS	11224000	2009-11-27		
USGS	11224000	2009-11-28		
USGS	11224000	2009-11-29		
USGS	11224000	2009-11-30		
USGS	11224000	2009-12-01		
USGS	11224000	2009-12-02		
USGS	11224000	2009-12-03		
USGS	11224000	2009-12-04		
USGS	11224000	2009-12-05		
USGS	11224000	2009-12-06		
USGS	11224000	2009-12-07		
USGS	11224000	2009-12-08		
USGS	11224000	2009-12-09		
USGS	11224000	2009-12-10		
USGS	11224000	2009-12-11		
USGS	11224000	2009-12-12		
USGS	11224000	2009-12-13		
USGS	11224000	2009-12-14		
USGS	11224000	2009-12-15		
USGS	11224000	2009-12-16		
USGS	11224000	2009-12-17		
USGS	11224000	2009-12-18		
USGS	11224000	2009-12-19		
USGS	11224000	2009-12-20		
USGS	11224000	2009-12-21		
USGS	11224000	2009-12-22		
USGS	11224000	2009-12-23		
USGS	11224000	2009-12-24		
USGS	11224000	2009-12-25		
USGS	11224000	2009-12-26		
USGS	11224000	2009-12-27		
USGS	11224000	2009-12-28		
USGS	11224000	2009-12-29		
USGS	11224000	2009-12-30		
USGS	11224000	2009-12-31		
USGS	11224000	2010-01-01		
USGS	11224000	2010-01-02		
USGS	11224000	2010-01-03		
USGS	11224000	2010-01-04		
USGS	11224000	2010-01-05		
USGS	11224000	2010-01-06		
USGS	11224000	2010-01-07		
USGS	11224000	2010-01-08		
USGS	11224000	2010-01-09		
USGS	11224000	2010-01-10		
USGS	11224000	2010-01-11		
USGS	11224000	2010-01-12		
USGS	11224000	2010-01-13		
USGS	11224000	2010-01-14		
USGS	11224000	2010-01-15		
USGS	11224000	2010-01-16		
USGS	11224000	2010-01-17		
USGS	11224000	2010-01-18		
USGS	11224000	2010-01-19		
USGS	11224000	2010-01-20		
USGS	11224000	2010-01-21		
USGS	11224000	2010-01-22		
USGS	11224000	2010-01-23		
USGS	11224000	2010-01-24		
USGS	11224000	2010-01-25		
USGS	11224000	2010-01-26		
USGS	11224000	2010-01-27		
USGS	11224000	2010-01-28		
USGS	11224000	2010-01-29		
USGS	11224000	2010-01-30		
USGS	11224000	2010-01-31		
USGS	11224000	2010-02-01		
USGS	11224000	2010-02-02		
USGS	11224000	2010-02-03		
USGS	11224000	2010-02-04		
USGS	11224000	2010-02-05		
