# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-23 17:29:15 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11264500 MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11264500
#            TS   parameter     statistic     Description
#        234297       00010     00003     Temperature, water, degrees Celsius (Mean)
#          9529       00010     00001     Temperature, water, degrees Celsius (Maximum)
#          9530       00010     00002     Temperature, water, degrees Celsius (Minimum)
#          9531       00010     00008     Temperature, water, degrees Celsius (Median)
#          9532       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	234297_00010_00003	234297_00010_00003_cd	9529_00010_00001	9529_00010_00001_cd	9530_00010_00002	9530_00010_00002_cd	9531_00010_00008	9531_00010_00008_cd	9532_00060_00003	9532_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	11264500	1915-08-24									104	A
USGS	11264500	1915-08-25									104	A
USGS	11264500	1915-08-26									97.0	A
USGS	11264500	1915-08-27									90.0	A
USGS	11264500	1915-08-28									79.0	A
USGS	11264500	1915-08-29									79.0	A
USGS	11264500	1915-08-30									83.0	A
USGS	11264500	1915-08-31									112	A
USGS	11264500	1915-09-01									136	A
USGS	11264500	1915-09-02									104	A
USGS	11264500	1915-09-03									104	A
USGS	11264500	1915-09-04									104	A
USGS	11264500	1915-09-05									97.0	A
USGS	11264500	1915-09-06									66.0	A
USGS	11264500	1915-09-07									73.0	A
USGS	11264500	1915-09-08									66.0	A
USGS	11264500	1915-09-09									63.0	A
USGS	11264500	1915-09-10									57.0	A
USGS	11264500	1915-09-11									51.0	A
USGS	11264500	1915-09-12									42.0	A
USGS	11264500	1915-09-13									40.0	A
USGS	11264500	1915-09-14									36.0	A
USGS	11264500	1915-09-15									31.0	A
USGS	11264500	1915-09-16									28.0	A
USGS	11264500	1915-09-17									28.0	A
USGS	11264500	1915-09-18									21.0	A
USGS	11264500	1915-09-19									21.0	A
USGS	11264500	1915-09-20									19.0	A
USGS	11264500	1915-09-21									19.0	A
USGS	11264500	1915-09-22									18.0	A
USGS	11264500	1915-09-23									18.0	A
USGS	11264500	1915-09-24									21.0	A
USGS	11264500	1915-09-25									24.0	A
USGS	11264500	1915-09-26									24.0	A
USGS	11264500	1915-09-27									28.0	A
USGS	11264500	1915-09-28									25.0	A
