Z11265000                       USGS 
H11265000       3744321193325000606043SW1804000846.9          4000.00           
N11265000       TENAYA C NR YOSEMITE VILLAGE CA
Y11265000       
311265000       19120601    8351                                       
311265000       19130524    5201                                       
311265000       19140514   10101                                       
311265000       19150531   1120                5.85                    
311265000       19160505    775                5.00                    
311265000       19170609   1190                6.00                    
311265000       19180608    775                5.00                    
311265000       19190528   1730                7.05                    
311265000       19200520   1320                6.10                    
311265000       19210515    960                5.25                    
311265000       19220604   1500                6.60                    
311265000       19230515   1020                5.35                    
311265000       19240502    485                4.00                    
311265000       19250506   1080                5.53                    
311265000       19260425    885                5.03                    
311265000       19270516   1370                6.25                    
311265000       19290616   1360                6.59                    
311265000       19300527    633                4.73                    
311265000       19310513    437                4.14                    
311265000       19320517   1000                5.65                    
311265000       19330530   1080                5.77                    
311265000       19340613    372                3.61                    
311265000       19350604   1260                5.73                    
311265000       19360514   1110                5.33                    
311265000       19370514   1570                5.80                    
311265000       19371211   6800               10.00                    
311265000       19390421    479                3.89                    
311265000       19400512    985                4.89                    
311265000       19410522   1200                5.31                    
311265000       19420605   1030                5.00                    
311265000       19430601   1900                5.90                    
311265000       19440508    832                4.15                    
311265000       19450504   1250                4.90                    
311265000       19451030   1030                4.50                    
311265000       19470502    945                4.34                    
311265000       19480526   1220                4.73                    
311265000       19490514    867                4.18                    
311265000       19500527   1080                4.39                    
311265000       19501118   5150                8.44                    
311265000       19520530   1570                5.50                    
311265000       19530425    828                3.85                    
311265000       19540508    859                3.92                    
311265000       19550521    832                3.77                    
311265000       19551223   4730                8.14                    
311265000       19570518    906                5.64                    
311265000       19580518   1650                5.16                    
