Z10296000                       USGS 
H10296000       3822471192657000632051SW16050302181           6591.39           
N10296000       W WALKER RV BLW L WALKER RV NR COLEVILLE, CA
Y10296000       
310296000       19371211   5800                                        
310296000       19390529    944                2.94                    
310296000       19400525   1690                4.66                    
310296000       19410620   2040                5.01                    
310296000       19420705   1900                5.02                    
310296000       19430601   2110                5.15                    
310296000       19440608   1360                4.34                    
310296000       19450622   1880                5.03                    
310296000       19460520   1470                4.73                    
310296000       19470503   1360                4.59                    
310296000       19480526   1250                4.45                    
310296000       19490527   1500                4.72                    
310296000       19500601   1960                5.19                    
310296000       19501120   6220                8.10                    
310296000       19520608   2650                5.51                    
310296000       19530619   2030                4.93                    
310296000       19540519   1710                4.60                    
310296000       19550610   2230                5.13                    
310296000       19551223   5180                7.41                    
310296000       19570603   2070                4.97                    
310296000       19580624   2330                5.23                    
310296000       19590513    866                3.42                    
310296000       19600602   1270                4.01                    
310296000       19610525    866                3.45                    
310296000       19620619   1770                4.58                    
310296000       19630201   2870                5.85                    
310296000       19640614    916                3.522                   
310296000       19641223   2950                5.76                    
310296000       19660520   1050                3.67                    
310296000       19670703   3100                5.95                    
310296000       19680602   1270                4.07                    
310296000       19690604   3470                5.74                    
310296000       19700604   1480                4.28                    
310296000       19710627   2080                4.98                    
310296000       19720531   1620                4.42                    
310296000       19730531   2400                5.32                    
310296000       19740607   2090                5.01                    
310296000       19750601   2590                5.42                    
310296000       19760513    827                3.44                    
310296000       19770601    571                2.97                    
310296000       19780614   2010                4.92                    
310296000       19790526   2000                4.97                    
310296000       19800701   2780                5.55                    
310296000       19810605   1130                3.83                    
310296000       19820527   2330                5.13                    
310296000       19830605   3300                6.00                    
310296000       19840530   2090                4.97                    
310296000       19850607   1230                3.88                    
310296000       19860601   3090                5.50                    
310296000       19870517    963                3.37                    
310296000       19880516    819                3.53                    
310296000       19890508   1260                3.96                    
310296000       19900506    655                3.10                    
310296000       19910610   1730                4.15                    
310296000       19920508    820                3.18                    
310296000       19930621   1990                4.39                    
310296000       19940531   1120                3.51                    
310296000       19950709   3860                6.04                    
310296000       19960516   4610                6.55                    
310296000       19970102  12300               10.11                    
310296000       19980622   2730                8.81                    
310296000       19990529   2630                5.65                    
310296000       20000525   2200                5.22                    
310296000       20010516   1850                4.84                    
310296000       20020601   1760                4.67                    
310296000       20030530   3010                5.93                    
310296000       20040505   1350                4.16                    
310296000       20050528   3470                6.39                    
310296000       20060520   3770                6.59                    
310296000       20070517    766                3.53                    
310296000       20080518   1910                5.05                    
310296000       20090520   2010                5.16                    
